,occurrenceID,newOccurrenceID,eventDate,decimalLongitude,decimalLatitude,scientificName,scientificNameID,basisOfRecord,collectionCode,catalogNumber,occurrenceStatus,institutionCode
0,urn:catalog:USF_IMaRS:compiled_zoo_taxonomy_jaimie:2018_01_31:0,jaime_protocol_observation:TODO:TODO,2017-04-24,-81.71532752,24.47605506,Nanocalanus sp.,TODO: worms lookup,HumanObservation,compiled_zoo_taxonomy_jaimie,2018_01_31,present,USF_IMaRS
1,urn:catalog:USF_IMaRS:compiled_zoo_taxonomy_jaimie:2018_01_31:1,jaime_protocol_observation:TODO:TODO,2017-04-24,-81.71532752,24.47605506,Corycaeus sp.,TODO: worms lookup,HumanObservation,compiled_zoo_taxonomy_jaimie,2018_01_31,present,USF_IMaRS
2,urn:catalog:USF_IMaRS:compiled_zoo_taxonomy_jaimie:2018_01_31:2,jaime_protocol_observation:TODO:TODO,2017-04-24,-81.71532752,24.47605506,Corycaeus(C.) speciosus,TODO: worms lookup,HumanObservation,compiled_zoo_taxonomy_jaimie,2018_01_31,present,USF_IMaRS
3,urn:catalog:USF_IMaRS:compiled_zoo_taxonomy_jaimie:2018_01_31:3,jaime_protocol_observation:TODO:TODO,2017-04-24,-81.71532752,24.47605506,Undinula vulgaris,TODO: worms lookup,HumanObservation,compiled_zoo_taxonomy_jaimie,2018_01_31,present,USF_IMaRS
4,urn:catalog:USF_IMaRS:compiled_zoo_taxonomy_jaimie:2018_01_31:4,jaime_protocol_observation:TODO:TODO,2017-04-24,-81.71532752,24.47605506,Candacia pachydactyla,TODO: worms lookup,HumanObservation,compiled_zoo_taxonomy_jaimie,2018_01_31,present,USF_IMaRS
5,urn:catalog:USF_IMaRS:compiled_zoo_taxonomy_jaimie:2018_01_31:5,jaime_protocol_observation:TODO:TODO,2017-04-24,-81.71532752,24.47605506,Oncaea. sp.,TODO: worms lookup,HumanObservation,compiled_zoo_taxonomy_jaimie,2018_01_31,present,USF_IMaRS
6,urn:catalog:USF_IMaRS:compiled_zoo_taxonomy_jaimie:2018_01_31:6,jaime_protocol_observation:TODO:TODO,2017-04-24,-81.71532752,24.47605506,Copilia mirabilis,TODO: worms lookup,HumanObservation,compiled_zoo_taxonomy_jaimie,2018_01_31,present,USF_IMaRS
7,urn:catalog:USF_IMaRS:compiled_zoo_taxonomy_jaimie:2018_01_31:7,jaime_protocol_observation:TODO:TODO,2017-04-24,-81.71532752,24.47605506,Acrocalanus sp,TODO: worms lookup,HumanObservation,compiled_zoo_taxonomy_jaimie,2018_01_31,present,USF_IMaRS
8,urn:catalog:USF_IMaRS:compiled_zoo_taxonomy_jaimie:2018_01_31:8,jaime_protocol_observation:TODO:TODO,2017-04-24,-81.71532752,24.47605506,Calocalanus pavo,TODO: worms lookup,HumanObservation,compiled_zoo_taxonomy_jaimie,2018_01_31,present,USF_IMaRS
9,urn:catalog:USF_IMaRS:compiled_zoo_taxonomy_jaimie:2018_01_31:9,jaime_protocol_observation:TODO:TODO,2017-04-24,-81.71532752,24.47605506,Calocalanus sp.,TODO: worms lookup,HumanObservation,compiled_zoo_taxonomy_jaimie,2018_01_31,present,USF_IMaRS
